lat,lon,elevacao_m
-23.2104131,-48.9965532,
-21.959296,-50.4833304,
-22.602489,-49.632865,
-23.1965026,-48.2552987,
-23.0783062,-46.4262733,
-22.7358314,-46.5641213,
-23.0828905,-46.410733,
-22.6338148,-46.5419919,
-23.2388797,-48.1732866,
-22.7457768,-46.5849494,
-22.7390283,-50.5818062,
-23.2200311,-47.9502897,
-23.3968709,-49.4915838,
-23.4631693,-47.692276,
-22.6281226,-46.5321973,
-23.1656642,-46.3956572,
-23.1984843,-49.3949381,
-22.7916719,-48.1367321,
-23.2456842,-47.833529,
-23.1811227,-46.4085274,
-22.7586267,-46.5750605,
-23.0585479,-48.9555367,
-22.7734855,-46.5648869,
-22.3419556,-50.3937916,
-23.4138561,-47.7097557,
-22.7901331,-46.5596346,
-21.9279054,-50.5417457,
-22.6256623,-46.529462,
-23.0933193,-46.4333639,
-22.5624432,-46.5340693,
-22.8511491,-49.2362648,
-23.1817136,-49.0053662,
-22.5967415,-49.6324067,
-23.1603562,-46.3927091,
-23.4747298,-47.6973655,
-22.5538375,-46.5304463,
-22.1718779,-50.0676577,
-20.0911541,-50.3436157,
-21.9563292,-50.4992574,
-23.1913028,-48.2432742,
-23.0600327,-46.3404688,
-22.7453267,-46.5734191,
-22.7620229,-46.583545,
-23.4198038,-47.718734,
-22.7605149,-46.638882,
-23.2218545,-48.9848036,
-22.8542516,-49.2341673,
-23.2199829,-49.0927666,
-22.5699252,-46.5184267,
-22.7624075,-46.5679338,
-23.1271915,-49.44577,
-23.1742558,-46.4467901,
-22.6162255,-46.5300316,
-23.0567886,-46.3837746,
-23.2257768,-48.971331,
-23.0988132,-48.6333938,
-22.9624687,-48.1936865,
-22.7985411,-46.4437999,
-21.7842438,-50.782174,
-23.1806158,-46.4071924,
-23.0683559,-48.1725734,
-23.3993095,-47.6977163,
-23.4229024,-47.7047508,
-23.5902576,-47.839855,
-21.79055,-50.799965,
-23.4247292,-47.692748,
-22.6860724,-50.7100039,
-23.2174615,-49.1029551,
-22.7501116,-46.5709609,
-22.5611685,-46.5308321,
-23.1962302,-48.9649485,
-20.2473208,-50.2264912,
-23.0312448,-47.8418796,
-23.4739282,-47.6986277,
-23.7026752,-47.7364577,
-22.8556668,-49.2314628,
-22.5787146,-46.5249096,
-23.127686,-48.2587793,
-22.792615,-46.5712046,
-22.932414,-48.1567353,
-23.2585695,-48.9983574,
-22.7416142,-46.5996061,
-23.1735381,-46.3794126,
-23.4222182,-47.7168703,
-21.9637335,-50.4951472,
-23.4935365,-47.7170787,
-23.087902,-46.437079,
-23.01966,-47.8490585,
-22.7956025,-46.5575388,
-23.2085583,-48.9945172,
-23.0960931,-46.4387168,
-22.9355418,-49.4325477,
-21.9401435,-50.532437,
-23.1491661,-46.3608141,
-22.7868757,-46.6011268,
-23.4266599,-47.714775,
-22.7410008,-50.5798241,
-22.7900755,-46.4364131,
-19.9637083,-50.6183903,
-23.184979,-46.3705906,
-21.9620501,-50.4919889,
-23.0983016,-46.4310234,
-22.6634727,-50.3748117,
-22.7340217,-46.5638115,
-21.9579416,-50.4827639,
-22.6258383,-46.5405922,
-22.77353,-46.5914886,
-22.1735743,-50.0953459,
-23.4042578,-47.6905975,
-23.0347585,-47.8429981,
-22.6143296,-46.5312492,
